Start,Stop,Topic
1201,1400,Mexico
1401,1419,Latin America (General)
1421,1434,Central America (General)
1435,1440,Maya
1441,1457,Belize
1461,1477,Guatelmala
1481,1497,El Salvador
1501,1517,Honduras
1521,1537,Nicaragua
1541,1557,Costa Rica
1561,1577,Panama
1601,1629,West Indies (General)
1630,1640,Bermudas
1650,1660,Bahamas
1741,1750,Greater Antilles (General)
1751,1854,Cuba
1861,1869,Jamaica
1900,1930,Haiti
1931,1941,Dominican Republic
1951,1983,Puerto Rico
1991,1999,Navassa
2001,2130,Lesser Antilles
2131,2133,British West Indies
2136,2140,US Virgin Islands
2141,2150,Dutch West Indies
2151,2154,French West Indies
2155,2191,Caribbean area. Caribbean Sea
2201,2239,South America (General)
2251,2299,Colombia
2301,2349,Venezuela
2351,2400,Guyana
2401,2431,Surinam
2441,2471,French Guiana
2501,2659,Brazil
2701,2799,Uruguay
2801,3021,Argentina
3031,3032,Falkland Islands
3051,3285,Chile
3301,3359,Bolivia
3401,3619,Peru
3701,3799,Ecuador
